Student_ID,Student_Name,Gender,Age,Class,Section,Maths,Science,English,Social,Computer,Total_Marks,Percentage,Grade,Attendance,City
1039,Divya,Female,17,8,A,64,94,36,44,88,326,65.2,C,75,Vijayawada
1040,Divya,Male,18,10,A,62,79,62,82,42,327,65.4,C,83,Vijayawada
1041,Anjali,Male,16,9,B,64,63,77,68,59,331,66.2,C,91,Guntur
1042,Sai,Female,18,9,C,46,55,77,39,82,299,59.8,D,87,Hyderabad
1043,Anjali,Male,17,8,A,74,76,59,43,92,344,68.8,C,82,Hyderabad
1044,Aparna,Male,16,8,C,88,75,50,38,83,334,66.8,C,93,Vizag
1045,Anjali,Female,16,10,C,55,94,45,71,99,364,72.8,B,78,Vizag
1046,Priya,Male,15,10,B,98,62,80,47,81,368,73.6,B,95,Hyderabad
1047,Rohit,Male,16,10,A,45,81,35,88,99,348,69.6,C,78,Vijayawada
1048,Anjali,Female,17,10,A,40,98,58,40,74,310,62.0,C,94,Hyderabad
1049,Kiran,Female,17,9,A,91,39,87,74,52,343,68.6,C,78,Vijayawada
1050,Anjali,Female,15,8,B,80,56,84,55,93,368,73.6,B,78,Vijayawada
1051,Sneha,Male,18,9,C,76,62,90,91,39,358,71.6,B,90,Vizag
1052,Arjun,Female,16,10,B,71,97,66,95,74,403,80.6,A,81,Guntur
1053,Anjali,Male,17,8,B,37,96,99,66,46,344,68.8,C,85,Guntur
1054,Priya,Male,16,10,B,38,69,85,42,55,289,57.8,D,89,Rajahmundry
1055,Arjun,Male,15,8,C,96,78,77,90,56,397,79.4,B,77,Hyderabad
1056,Kiran,Male,16,8,C,67,40,70,74,61,312,62.4,C,84,Vizag
1057,Rohit,Female,15,10,C,94,82,78,64,60,378,75.6,B,84,Rajahmundry
1058,Priya,Female,17,8,C,81,44,95,37,59,316,63.2,C,93,Vijayawada
1059,Divya,Male,16,10,A,84,41,72,92,93,382,76.4,B,88,Vijayawada
1060,Aparna,Female,17,8,C,66,54,53,75,45,293,58.6,D,85,Hyderabad
1061,Anjali,Female,18,9,B,99,98,85,82,68,432,86.4,A,90,Hyderabad
1062,Rahul,Female,18,8,B,82,55,41,50,40,268,53.6,D,83,Vijayawada
1063,Aparna,Male,15,8,B,95,75,84,37,72,363,72.6,B,84,Vijayawada
1064,Rohit,Male,15,10,A,100,46,66,88,70,370,74.0,B,86,Vijayawada
1065,Anjali,Male,18,8,B,37,93,52,91,85,358,71.6,B,91,Guntur
1066,Sneha,Male,17,9,C,45,52,56,83,60,296,59.2,D,80,Guntur
1067,Anjali,Female,15,8,B,87,66,87,44,89,373,74.6,B,77,Vizag
1068,Rohit,Male,15,10,B,88,40,80,46,44,298,59.6,D,76,Hyderabad
1069,Arjun,Male,16,10,C,54,82,83,80,75,374,74.8,B,93,Vizag
1070,Aparna,Male,17,9,B,45,62,70,35,60,272,54.4,D,97,Guntur
1071,Priya,Female,18,9,A,81,36,49,48,90,304,60.8,C,92,Vizag
1072,Sai,Male,17,9,B,60,68,44,42,50,264,52.8,D,81,Hyderabad
1073,Arjun,Female,15,10,A,53,51,97,66,73,340,68.0,C,96,Guntur
1074,Priya,Female,18,9,B,76,51,68,84,69,348,69.6,C,97,Vizag
1075,Priya,Female,17,9,B,46,52,40,67,43,248,49.6,F,81,Rajahmundry
1076,Rohit,Female,16,10,C,96,59,76,94,80,405,81.0,A,94,Hyderabad
1077,Rahul,Male,15,10,A,75,75,42,99,45,336,67.2,C,89,Hyderabad
1078,Divya,Female,16,9,C,77,40,52,93,36,298,59.6,D,100,Hyderabad
1079,Sneha,Male,18,10,A,52,67,81,70,46,316,63.2,C,96,Guntur
1080,Arjun,Male,15,10,A,71,40,48,54,86,299,59.8,D,86,Hyderabad
1081,Anjali,Female,16,10,C,37,96,56,88,100,377,75.4,B,97,Vijayawada
1082,Sai,Male,16,8,C,89,45,67,64,88,353,70.6,B,90,Rajahmundry
1083,Kiran,Male,15,10,A,96,40,70,91,53,350,70.0,B,99,Vijayawada
1084,Aparna,Male,15,8,A,36,35,45,35,64,215,43.0,F,93,Hyderabad
1085,Kiran,Male,18,9,A,66,44,51,86,74,321,64.2,C,89,Vijayawada
1086,Rohit,Female,16,10,A,97,49,83,67,96,392,78.4,B,79,Guntur
1087,Arjun,Female,17,9,A,65,58,94,53,83,353,70.6,B,89,Vijayawada
1088,Arjun,Male,17,9,C,71,39,43,78,92,323,64.6,C,81,Rajahmundry
1089,Aparna,Male,15,9,C,52,53,81,78,72,336,67.2,C,89,Rajahmundry
1090,Sneha,Female,17,8,A,72,84,88,87,49,380,76.0,B,98,Rajahmundry
1091,Aparna,Female,16,8,A,98,48,67,90,42,345,69.0,C,97,Guntur
1092,Rahul,Male,17,10,C,80,45,86,89,35,335,67.0,C,99,Hyderabad
1093,Rohit,Male,18,10,B,58,90,85,84,98,415,83.0,A,95,Rajahmundry
1094,Rohit,Male,15,10,C,79,66,92,69,87,393,78.6,B,83,Vijayawada
1095,Arjun,Male,16,10,C,47,68,80,40,39,274,54.8,D,87,Rajahmundry
1096,Rahul,Male,16,9,C,66,47,53,53,83,302,60.4,C,89,Hyderabad
1097,Arjun,Male,18,10,A,69,39,89,95,50,342,68.4,C,81,Vijayawada
1098,Rohit,Female,16,9,C,60,72,91,56,63,342,68.4,C,80,Guntur
1099,Aparna,Female,17,9,C,67,94,49,75,95,380,76.0,B,75,Guntur
1100,Arjun,Male,16,8,A,61,51,35,82,86,315,63.0,C,75,Guntur
1101,Rahul,Female,18,8,B,79,68,85,35,43,310,62.0,C,84,Hyderabad
1102,Sai,Male,16,10,C,72,39,39,37,91,278,55.6,D,76,Guntur
1103,Arjun,Male,17,9,C,77,82,52,37,97,345,69.0,C,94,Rajahmundry
1104,Aparna,Male,17,8,B,57,65,80,62,67,331,66.2,C,91,Guntur
1105,Sai,Female,16,10,C,75,44,36,87,84,326,65.2,C,82,Vijayawada
1106,Sneha,Female,16,9,C,36,49,61,37,63,246,49.2,F,96,Rajahmundry
1107,Sneha,Male,17,10,B,97,72,74,60,60,363,72.6,B,91,Vizag
1108,Aparna,Female,15,9,C,82,84,93,94,79,432,86.4,A,98,Vizag
1109,Rahul,Female,18,9,C,39,94,48,53,58,292,58.4,D,84,Vijayawada
1110,Rahul,Male,16,9,B,62,74,66,83,78,363,72.6,B,81,Guntur
1111,Anjali,Male,17,9,B,50,87,55,98,96,386,77.2,B,92,Vijayawada
1112,Priya,Male,18,10,A,100,88,84,59,88,419,83.8,A,85,Hyderabad
1113,Anjali,Female,17,8,B,84,70,51,94,59,358,71.6,B,85,Hyderabad
1114,Rohit,Male,18,10,B,96,97,42,35,47,317,63.4,C,100,Vizag
1115,Priya,Male,18,10,A,88,49,77,43,77,334,66.8,C,98,Vijayawada
1116,Anjali,Male,16,8,C,81,95,94,39,95,404,80.8,A,90,Hyderabad
1117,Priya,Female,18,9,A,59,74,85,36,55,309,61.8,C,87,Rajahmundry
1118,Rahul,Male,18,10,A,40,94,88,63,37,322,64.4,C,96,Vijayawada
1119,Sneha,Male,16,8,A,56,96,42,48,50,292,58.4,D,97,Rajahmundry
1120,Arjun,Female,15,9,C,44,92,55,44,49,284,56.8,D,93,Vijayawada
1121,Arjun,Male,17,8,A,85,89,35,76,97,382,76.4,B,83,Hyderabad
1122,Priya,Male,15,9,B,72,57,87,97,61,374,74.8,B,96,Guntur
1123,Sneha,Female,17,8,C,51,55,47,58,50,261,52.2,D,76,Hyderabad
1124,Anjali,Female,15,10,B,40,51,92,41,88,312,62.4,C,99,Rajahmundry
1125,Rohit,Male,17,9,B,64,57,38,94,45,298,59.6,D,77,Guntur
1126,Rahul,Male,15,9,A,85,89,98,70,58,400,80.0,A,100,Hyderabad
1127,Anjali,Male,17,9,A,45,67,49,49,38,248,49.6,F,93,Rajahmundry
1128,Kiran,Female,18,9,B,48,60,86,84,71,349,69.8,C,95,Rajahmundry
1129,Aparna,Male,16,9,C,94,52,89,73,99,407,81.4,A,100,Vizag
1130,Sneha,Male,15,9,A,58,67,83,49,81,338,67.6,C,89,Vijayawada
1131,Aparna,Female,17,10,A,35,53,58,91,72,309,61.8,C,78,Vijayawada
1132,Anjali,Male,16,8,B,97,67,51,52,97,364,72.8,B,91,Hyderabad
1133,Sai,Male,18,9,A,48,76,99,82,48,353,70.6,B,99,Hyderabad
1134,Sneha,Female,17,9,A,83,96,70,49,35,333,66.6,C,84,Guntur
1135,Kiran,Male,17,9,C,98,59,56,94,73,380,76.0,B,75,Rajahmundry
1136,Anjali,Male,16,9,B,79,69,59,83,89,379,75.8,B,82,Rajahmundry
1137,Divya,Male,16,9,B,97,100,88,54,98,437,87.4,A,82,Hyderabad
1138,Rahul,Male,15,9,C,81,83,54,62,79,359,71.8,B,83,Guntur
1139,Rahul,Male,17,8,B,78,66,95,97,75,411,82.2,A,89,Vijayawada
1140,Priya,Male,16,9,B,99,54,99,46,61,359,71.8,B,87,Guntur
1141,Anjali,Male,18,8,B,69,65,88,59,42,323,64.6,C,85,Rajahmundry
1142,Sneha,Male,16,9,A,56,97,67,88,84,392,78.4,B,89,Guntur
1143,Divya,Male,15,10,C,92,53,66,54,88,353,70.6,B,94,Guntur
1144,Rahul,Male,17,8,A,73,70,71,100,78,392,78.4,B,82,Vizag
1145,Kiran,Male,18,9,B,46,45,50,55,43,239,47.8,F,78,Vizag
1146,Divya,Female,17,8,B,62,79,53,77,76,347,69.4,C,85,Vijayawada
1147,Sneha,Female,17,10,C,42,97,36,44,93,312,62.4,C,87,Rajahmundry
1148,Divya,Female,15,10,C,53,35,44,90,77,299,59.8,D,96,Hyderabad
1149,Aparna,Male,16,9,A,52,76,36,60,87,311,62.2,C,80,Vijayawada
1150,Kiran,Female,16,9,B,72,51,92,74,38,327,65.4,C,92,Guntur
1151,Kiran,Male,16,9,A,75,47,59,42,35,258,51.6,D,76,Vijayawada
1152,Sai,Female,17,10,A,38,71,90,81,62,342,68.4,C,87,Vijayawada
1153,Arjun,Male,16,9,B,39,50,68,91,53,301,60.2,C,90,Guntur
1154,Rohit,Female,17,8,B,78,86,55,58,77,354,70.8,B,78,Hyderabad
1155,Arjun,Male,18,9,A,71,89,40,74,70,344,68.8,C,76,Vijayawada
1156,Priya,Male,17,9,C,35,60,60,75,79,309,61.8,C,83,Vijayawada
1157,Kiran,Female,16,8,A,50,35,59,63,100,307,61.4,C,86,Vizag
1158,Sneha,Male,15,9,B,64,58,35,80,67,304,60.8,C,98,Hyderabad
1159,Priya,Male,16,8,B,72,52,44,77,51,296,59.2,D,75,Guntur
1160,Sai,Female,17,8,A,57,95,76,65,93,386,77.2,B,87,Vijayawada
1161,Divya,Male,15,8,C,53,90,36,45,48,272,54.4,D,94,Hyderabad
1162,Sneha,Male,17,9,C,67,66,83,65,45,326,65.2,C,94,Hyderabad
1163,Arjun,Male,16,9,B,56,35,49,77,79,296,59.2,D,83,Rajahmundry
1164,Rohit,Female,15,8,C,79,40,66,85,79,349,69.8,C,86,Guntur
1165,Anjali,Female,16,9,C,50,87,45,48,46,276,55.2,D,77,Rajahmundry
1166,Sneha,Male,17,8,C,69,74,46,51,95,335,67.0,C,90,Vizag
1167,Rohit,Female,18,8,C,48,36,57,70,61,272,54.4,D,97,Hyderabad
1168,Priya,Female,15,8,C,44,77,100,97,70,388,77.6,B,78,Guntur
1169,Sai,Male,18,8,B,89,84,41,63,43,320,64.0,C,86,Guntur
1170,Rahul,Female,18,8,A,89,42,40,40,70,281,56.2,D,75,Hyderabad
1171,Rohit,Male,16,8,A,53,96,80,44,45,318,63.6,C,95,Guntur
1172,Sai,Female,15,8,B,53,95,92,76,91,407,81.4,A,83,Guntur
1173,Sai,Male,15,8,A,93,80,68,71,37,349,69.8,C,91,Vizag
1174,Anjali,Male,18,9,B,61,58,50,53,59,281,56.2,D,83,Vizag
1175,Rohit,Female,15,9,B,91,46,53,88,85,363,72.6,B,81,Rajahmundry
1176,Sneha,Male,15,8,B,64,43,36,39,94,276,55.2,D,85,Vijayawada
1177,Rohit,Female,16,8,C,45,66,60,45,82,298,59.6,D,93,Guntur
1178,Aparna,Male,18,8,C,50,79,83,78,86,376,75.2,B,86,Vijayawada
1179,Sneha,Female,18,8,C,51,44,83,95,62,335,67.0,C,88,Guntur
1180,Rahul,Male,15,8,B,70,55,67,80,95,367,73.4,B,95,Vizag
1181,Priya,Female,17,8,A,48,72,71,56,75,322,64.4,C,98,Vijayawada
1182,Rahul,Male,15,8,B,93,86,66,85,58,388,77.6,B,90,Guntur
1183,Anjali,Female,16,10,C,74,66,43,90,42,315,63.0,C,99,Vizag
1184,Sneha,Female,15,10,B,65,46,90,69,67,337,67.4,C,80,Hyderabad
1185,Divya,Female,17,10,A,100,51,56,59,99,365,73.0,B,88,Hyderabad
1186,Divya,Male,15,9,B,69,79,98,60,36,342,68.4,C,95,Vizag
1187,Aparna,Female,16,9,B,99,41,60,97,72,369,73.8,B,88,Rajahmundry
1188,Kiran,Male,18,8,A,96,45,89,81,84,395,79.0,B,76,Vijayawada
1189,Sai,Female,17,9,C,99,77,100,66,46,388,77.6,B,99,Rajahmundry
1190,Anjali,Male,15,9,B,36,91,75,74,68,344,68.8,C,84,Hyderabad
1191,Rohit,Male,17,8,B,57,91,73,87,56,364,72.8,B,80,Guntur
1192,Rahul,Female,18,8,C,46,42,75,82,51,296,59.2,D,80,Vijayawada
1193,Priya,Male,16,10,B,73,58,97,58,64,350,70.0,B,90,Vijayawada
1194,Arjun,Male,18,9,A,64,84,73,56,82,359,71.8,B,97,Guntur
1195,Rahul,Female,16,10,C,78,37,36,60,67,278,55.6,D,92,Vijayawada
1196,Divya,Male,16,10,C,60,66,51,39,88,304,60.8,C,93,Vijayawada
1197,Sneha,Male,17,10,C,77,81,63,39,58,318,63.6,C,78,Guntur
1198,Sai,Female,17,9,B,76,38,72,54,38,278,55.6,D,76,Rajahmundry
1199,Kiran,Male,16,9,C,81,45,86,88,90,390,78.0,B,78,Vijayawada
1200,Rahul,Male,17,10,C,38,63,53,53,82,289,57.8,D,79,Rajahmundry
1201,Kiran,Male,16,10,B,100,64,69,99,88,420,84.0,A,95,Vizag
1202,Sai,Female,16,9,C,78,75,73,92,100,418,83.6,A,96,Guntur
1203,Sneha,Male,18,10,A,73,60,44,46,63,286,57.2,D,77,Rajahmundry
1204,Sneha,Female,17,8,B,47,42,73,45,49,256,51.2,D,80,Guntur
1205,Rohit,Female,16,10,B,37,39,87,49,99,311,62.2,C,88,Rajahmundry
1206,Rahul,Female,18,10,A,66,58,61,77,97,359,71.8,B,98,Rajahmundry
1207,Kiran,Male,15,9,A,46,75,89,91,37,338,67.6,C,91,Rajahmundry
1208,Priya,Male,15,10,A,51,77,62,97,78,365,73.0,B,89,Vizag
1209,Rohit,Female,17,9,A,96,70,40,88,61,355,71.0,B,92,Vijayawada
1210,Aparna,Male,17,9,B,86,94,70,73,73,396,79.2,B,79,Hyderabad
1211,Rohit,Female,15,10,B,68,40,75,60,61,304,60.8,C,96,Guntur
1212,Rohit,Male,18,8,B,94,67,66,56,76,359,71.8,B,93,Guntur
1213,Arjun,Female,16,9,B,73,69,38,38,53,271,54.2,D,81,Guntur
1214,Anjali,Male,15,9,C,57,66,80,89,58,350,70.0,B,80,Vijayawada
1215,Priya,Female,17,8,B,85,46,73,77,56,337,67.4,C,76,Rajahmundry
1216,Divya,Male,16,9,B,86,38,85,99,77,385,77.0,B,85,Hyderabad
1217,Sai,Female,18,10,A,89,68,86,50,67,360,72.0,B,85,Vijayawada
1218,Arjun,Male,16,9,C,63,71,95,55,63,347,69.4,C,83,Vijayawada
1219,Priya,Male,15,10,A,50,43,85,43,64,285,57.0,D,98,Vijayawada
1220,Rohit,Male,17,10,B,41,48,100,88,70,347,69.4,C,91,Vijayawada
1221,Sai,Male,15,10,A,70,85,94,78,37,364,72.8,B,99,Guntur
1222,Priya,Female,15,10,A,55,40,53,75,66,289,57.8,D,84,Guntur
1223,Divya,Male,15,9,B,44,46,36,51,80,257,51.4,D,86,Hyderabad
1224,Kiran,Female,15,8,A,35,56,81,36,56,264,52.8,D,79,Vizag
1225,Rohit,Male,16,9,B,48,49,94,37,48,276,55.2,D,92,Hyderabad
1226,Sai,Male,17,9,A,44,65,81,72,37,299,59.8,D,98,Guntur
1227,Rahul,Female,17,9,B,67,51,97,80,42,337,67.4,C,96,Hyderabad
1228,Sneha,Male,16,9,B,73,51,94,76,89,383,76.6,B,90,Vizag
1229,Divya,Male,17,10,C,99,60,53,73,89,374,74.8,B,88,Vijayawada
1230,Anjali,Male,17,8,B,60,42,67,93,36,298,59.6,D,82,Guntur
1231,Rahul,Male,17,9,B,40,63,76,100,64,343,68.6,C,91,Rajahmundry
1232,Sneha,Female,15,8,B,69,93,87,71,38,358,71.6,B,94,Vizag
1233,Rahul,Female,18,9,A,57,100,84,44,84,369,73.8,B,75,Hyderabad
1234,Rohit,Female,15,8,B,46,52,65,64,93,320,64.0,C,91,Rajahmundry
1235,Anjali,Female,18,9,A,76,100,53,55,61,345,69.0,C,81,Guntur
1236,Divya,Male,15,8,C,58,97,92,40,38,325,65.0,C,96,Rajahmundry
1237,Sneha,Male,17,9,B,85,87,40,84,96,392,78.4,B,91,Vizag
1238,Anjali,Female,18,9,A,38,70,94,38,59,299,59.8,D,98,Guntur
1239,Rohit,Female,17,10,A,92,39,66,42,65,304,60.8,C,86,Vijayawada
1240,Divya,Male,16,10,B,67,73,84,46,84,354,70.8,B,94,Rajahmundry
1241,Rahul,Female,17,10,C,56,83,81,78,36,334,66.8,C,93,Rajahmundry
1242,Aparna,Male,18,10,C,81,64,98,36,40,319,63.8,C,83,Guntur
1243,Arjun,Male,17,9,C,55,39,36,79,93,302,60.4,C,83,Hyderabad
1244,Divya,Male,17,9,C,59,39,59,81,93,331,66.2,C,85,Vijayawada
1245,Priya,Female,18,9,A,50,58,97,92,53,350,70.0,B,99,Vijayawada
1246,Priya,Female,18,10,B,82,96,50,45,44,317,63.4,C,86,Hyderabad
1247,Rahul,Male,15,9,C,43,35,35,47,61,221,44.2,F,77,Hyderabad
1248,Arjun,Male,18,10,C,77,41,45,75,47,285,57.0,D,92,Vijayawada
1249,Rahul,Male,16,8,C,41,82,59,54,60,296,59.2,D,76,Rajahmundry
1250,Divya,Female,17,9,B,61,73,89,68,45,336,67.2,C,96,Guntur
1251,Kiran,Male,15,8,B,90,89,61,82,83,405,81.0,A,82,Hyderabad
1252,Anjali,Male,16,9,A,65,86,83,43,93,370,74.0,B,93,Vijayawada
1253,Anjali,Female,17,10,A,71,87,96,94,87,435,87.0,A,99,Hyderabad
1254,Rahul,Male,18,9,B,91,38,70,74,63,336,67.2,C,97,Vizag
1255,Rohit,Male,18,8,C,70,84,40,76,94,364,72.8,B,99,Vijayawada
1256,Rahul,Female,16,10,C,39,74,62,97,70,342,68.4,C,77,Rajahmundry
1257,Aparna,Female,17,10,A,80,79,90,37,76,362,72.4,B,79,Rajahmundry
1258,Aparna,Male,17,9,C,88,42,47,61,61,299,59.8,D,88,Vijayawada
1259,Divya,Female,15,8,C,62,41,88,37,84,312,62.4,C,96,Vijayawada
1260,Rahul,Female,16,9,C,65,48,87,67,55,322,64.4,C,80,Rajahmundry
1261,Sneha,Male,18,10,B,60,83,36,92,63,334,66.8,C,84,Vijayawada
1262,Divya,Male,15,9,A,85,71,72,52,64,344,68.8,C,96,Vizag
1263,Sneha,Female,18,8,C,63,93,79,89,42,366,73.2,B,75,Rajahmundry
1264,Rahul,Male,16,9,C,69,51,62,73,62,317,63.4,C,91,Vizag
1265,Kiran,Female,15,10,C,72,92,80,75,97,416,83.2,A,96,Vizag
1266,Rahul,Male,18,8,A,95,72,97,48,94,406,81.2,A,94,Hyderabad
1267,Anjali,Male,17,10,B,92,44,84,75,99,394,78.8,B,100,Rajahmundry
1268,Rohit,Female,18,9,C,93,36,41,41,69,280,56.0,D,79,Vijayawada
1269,Sai,Male,18,9,B,53,84,38,57,74,306,61.2,C,96,Guntur
1270,Rohit,Female,17,10,B,92,80,38,62,46,318,63.6,C,78,Hyderabad
1271,Anjali,Female,16,9,A,89,89,63,73,53,367,73.4,B,75,Vizag
1272,Aparna,Female,16,8,B,42,84,76,81,73,356,71.2,B,98,Rajahmundry
1273,Sai,Female,18,9,B,45,46,47,76,36,250,50.0,D,80,Hyderabad
1274,Sneha,Male,16,8,B,95,85,100,85,39,404,80.8,A,82,Rajahmundry
1275,Priya,Female,15,10,A,63,94,38,76,54,325,65.0,C,80,Rajahmundry
1276,Kiran,Female,17,10,C,94,38,65,46,43,286,57.2,D,80,Vijayawada
1277,Divya,Male,18,8,A,61,48,83,65,69,326,65.2,C,83,Rajahmundry
1278,Sneha,Male,18,10,A,89,90,83,70,70,402,80.4,A,86,Rajahmundry
1279,Sneha,Female,15,9,C,51,46,86,88,90,361,72.2,B,87,Vijayawada
1280,Sai,Male,15,9,A,54,43,74,77,55,303,60.6,C,75,Guntur
1281,Rahul,Male,18,9,B,75,71,60,41,75,322,64.4,C,76,Vizag
1282,Sai,Male,17,9,C,38,67,81,73,61,320,64.0,C,97,Hyderabad
1283,Divya,Male,17,8,C,37,86,92,98,50,363,72.6,B,75,Vijayawada
1284,Priya,Male,16,9,C,52,37,64,83,64,300,60.0,C,75,Rajahmundry
1285,Anjali,Female,15,10,A,99,71,52,62,85,369,73.8,B,86,Vijayawada
1286,Anjali,Male,15,10,B,60,46,82,56,79,323,64.6,C,98,Vizag
1287,Rohit,Male,17,8,A,48,60,97,52,92,349,69.8,C,91,Guntur
1288,Priya,Male,17,10,B,54,61,73,84,40,312,62.4,C,97,Rajahmundry
1289,Kiran,Male,18,8,C,98,61,53,46,60,318,63.6,C,82,Guntur
1290,Priya,Female,18,10,B,94,93,91,74,83,435,87.0,A,78,Guntur
1291,Divya,Female,17,10,B,73,57,57,74,89,350,70.0,B,84,Rajahmundry
1292,Sai,Female,15,10,C,73,94,53,60,47,327,65.4,C,83,Hyderabad
1293,Sai,Male,16,10,C,96,37,61,56,65,315,63.0,C,97,Vizag
1294,Aparna,Male,15,8,A,64,65,100,42,66,337,67.4,C,81,Hyderabad
1295,Aparna,Male,15,10,C,96,51,69,100,97,413,82.6,A,88,Guntur
1296,Rohit,Female,18,10,A,75,61,35,82,39,292,58.4,D,100,Hyderabad
1297,Aparna,Male,17,8,B,40,90,93,49,94,366,73.2,B,98,Vizag
1298,Arjun,Male,18,10,C,98,41,81,82,84,386,77.2,B,75,Hyderabad
1299,Priya,Male,17,8,B,89,66,69,98,50,372,74.4,B,91,Hyderabad
1300,Sai,Female,18,8,B,77,51,54,81,48,311,62.2,C,99,Hyderabad
1301,Rahul,Male,15,10,C,75,40,67,52,79,313,62.6,C,87,Vijayawada
1302,Sai,Female,16,9,A,38,84,60,42,50,274,54.8,D,80,Vijayawada
1303,Rahul,Male,17,9,C,59,41,73,47,93,313,62.6,C,82,Vijayawada
1304,Aparna,Female,15,10,A,97,60,43,39,45,284,56.8,D,85,Hyderabad
1305,Rahul,Male,16,8,B,42,88,56,100,54,340,68.0,C,86,Guntur
1306,Rahul,Male,17,10,B,67,40,61,71,100,339,67.8,C,89,Vijayawada
1307,Rohit,Female,15,8,B,50,41,52,60,43,246,49.2,F,78,Rajahmundry
1308,Arjun,Female,15,10,C,62,62,83,67,99,373,74.6,B,87,Vijayawada
1309,Rahul,Female,18,9,C,49,76,55,38,100,318,63.6,C,79,Rajahmundry
1310,Aparna,Female,17,10,C,54,70,54,39,41,258,51.6,D,91,Hyderabad
1311,Arjun,Female,17,9,A,97,96,61,76,98,428,85.6,A,99,Vijayawada
1312,Sai,Male,15,8,C,76,66,83,44,92,361,72.2,B,82,Hyderabad
1313,Rahul,Female,16,10,A,54,69,81,78,45,327,65.4,C,81,Vijayawada
1314,Rohit,Male,18,9,B,69,40,91,95,49,344,68.8,C,99,Guntur
1315,Arjun,Female,15,9,C,89,38,71,47,96,341,68.2,C,83,Vijayawada
1316,Aparna,Male,18,8,A,37,69,74,77,85,342,68.4,C,95,Vijayawada
1317,Anjali,Male,16,8,B,71,82,85,91,75,404,80.8,A,91,Vizag
1318,Rahul,Female,15,10,A,77,72,90,62,89,390,78.0,B,76,Vijayawada
1319,Sneha,Male,15,10,A,48,63,74,58,61,304,60.8,C,87,Vizag
1320,Priya,Female,15,10,A,94,66,45,82,89,376,75.2,B,75,Guntur
